[2025-07-29 12:26:29] Move from row: 1, col: 4 to row: 2, col: 4
[2025-07-29 12:26:33] Move from row: 0, col: 4 to row: 1, col: 4
[2025-07-29 12:26:49] Move from row: 6, col: 4 to row: 5, col: 4
[2025-07-29 12:26:52] Move from row: 7, col: 4 to row: 6, col: 4
[2025-07-29 12:36:01] Move from row: 1, col: 0 to row: 3, col: 0
[2025-07-29 12:36:10] Move from row: 3, col: 0 to row: 5, col: 0
[2025-07-29 12:36:23] Move from row: 5, col: 0 to row: 6, col: 1
[2025-07-29 12:36:31] Move from row: 6, col: 1 to row: 7, col: 0
[2025-07-29 12:39:54] Move from row: 1, col: 0 to row: 3, col: 0
[2025-07-29 12:40:01] Move from row: 3, col: 0 to row: 5, col: 0
[2025-07-29 12:40:10] Move from row: 5, col: 0 to row: 6, col: 1
[2025-07-29 12:40:17] Move from row: 6, col: 1 to row: 7, col: 0
[2025-07-29 12:40:26] Move from row: 0, col: 0 to row: 2, col: 0
[2025-07-29 12:41:50] Move from row: 1, col: 0 to row: 3, col: 0
[2025-07-29 12:41:58] Move from row: 3, col: 0 to row: 5, col: 0
[2025-07-29 12:42:05] Move from row: 5, col: 0 to row: 6, col: 1
[2025-07-29 12:42:13] Move from row: 6, col: 1 to row: 7, col: 0
[2025-07-29 12:42:27] Move from row: 7, col: 0 to row: 6, col: 0
[2025-07-29 12:44:04] Move from row: 1, col: 0 to row: 3, col: 0
[2025-07-29 12:44:11] Move from row: 3, col: 0 to row: 4, col: 0
[2025-07-29 12:44:18] Move from row: 4, col: 0 to row: 5, col: 0
[2025-07-29 12:44:26] Move from row: 5, col: 0 to row: 6, col: 1
[2025-07-29 12:44:33] Move from row: 6, col: 1 to row: 7, col: 2
[2025-07-29 12:44:41] Move from row: 7, col: 2 to row: 6, col: 2
[2025-07-29 13:13:46] Move from row: 1, col: 0 to row: 3, col: 0
[2025-07-29 13:13:55] Move from row: 3, col: 0 to row: 5, col: 0
[2025-07-29 13:14:04] Move from row: 5, col: 0 to row: 6, col: 1
[2025-07-29 13:14:13] Move from row: 6, col: 1 to row: 7, col: 2
[2025-07-29 13:14:22] Move from row: 7, col: 2 to row: 6, col: 2
[2025-07-29 13:32:56] Move from row: 1, col: 0 to row: 2, col: 0
[2025-07-29 13:34:08] Move from row: 1, col: 0 to row: 2, col: 0
[2025-07-29 13:35:45] Move from row: 1, col: 0 to row: 2, col: 0
[2025-07-29 13:35:54] Move from row: 6, col: 7 to row: 5, col: 7
